address,search_key,suburb,street_id,street_name,street_key,latitude,longitude
(22-24 Victoria Harbour) Enterprize Road Docklands,(22-24 victoria harbour) enterprize road docklands,North and West Melbourne,117770,Enterprize Road,North and West Melbourne|117770,-37.81803404,144.93008200
(Rear 24 Victoria Harbour) Enterprize Road Docklands,(rear 24 victoria harbour) enterprize road docklands,North and West Melbourne,117770,Enterprize Road,North and West Melbourne|117770,-37.81718528,144.92802903
1 A'Beckett Street Melbourne,1 a'beckett street melbourne,Central City,368,A'Beckett Street,Central City|368,-37.80867440,144.96318502
1 Abbotsford Street West Melbourne,1 abbotsford street west melbourne,North and West Melbourne,367,Abbotsford Street,North and West Melbourne|367,-37.80807926,144.94330693
1 Acland Street South Yarra,1 acland street south yarra,South Yarra,369,Acland Street,South Yarra|369,-37.83352329,144.98558360
1 Adams Street South Yarra,1 adams street south yarra,South Yarra,370,Adams Street,South Yarra|370,-37.83689696,144.97713384
1 Adderley Street Docklands,1 adderley street docklands,Docklands,371,Adderley Street,Docklands|371,-37.81339552,144.95003205
1 Adela Lane Docklands,1 adela lane docklands,Docklands,120172,Adela Lane,Docklands|120172,-37.82128655,144.94240174
1 Agnes Street East Melbourne,1 agnes street east melbourne,East Melbourne,372,Agnes Street,East Melbourne|372,-37.81830859,144.97980259
1 Airlie Street South Yarra,1 airlie street south yarra,South Yarra,373,Airlie Street,South Yarra|373,-37.83280028,144.98671042
1 Albermarle Street Kensington,1 albermarle street kensington,Kensington,374,Albermarle Street,Kensington|374,-37.79638373,144.93310323
1 Albert Lane East Melbourne,1 albert lane east melbourne,East Melbourne,356,Albert Lane,East Melbourne|356,-37.81013344,144.98685888
1 Albert Street East Melbourne,1 albert street east melbourne,East Melbourne,375,Albert Street,East Melbourne|375,-37.81135914,144.99084615
1 Alexandra Avenue South Yarra,1 alexandra avenue south yarra,South Yarra,376,Alexandra Avenue,South Yarra|376,-37.82855284,144.98500803
1 Alfred Place Melbourne,1 alfred place melbourne,Central City,377,Alfred Place,Central City|377,-37.81426473,144.97012884
1 Alfred Street North Melbourne,1 alfred street north melbourne,North and West Melbourne,119625,Alfred Street,North and West Melbourne|119625,-37.79111191,144.94225714
1 Alma Place Carlton,1 alma place carlton,Carlton,379,Alma Place,Carlton|379,-37.80571664,144.96135123
1 Altona Street Kensington,1 altona street kensington,Kensington,381,Altona Street,Kensington|381,-37.79932429,144.92757626
1 Altson Lane Melbourne,1 altson lane melbourne,Central City,380,Altson Lane,Central City|380,-37.81363145,144.95403277
1 Anderson Street West Melbourne,1 anderson street west melbourne,North and West Melbourne,385,Anderson Street,North and West Melbourne|385,-37.80581858,144.94180314
1 Anthony Street Melbourne,1 anthony street melbourne,Central City,388,Anthony Street,Central City|388,-37.80958191,144.95920324
1 Appleton Dock Road West Melbourne,1 appleton dock road west melbourne,North and West Melbourne,392,Appleton Dock Road,North and West Melbourne|392,-37.80934082,144.92915237
1 Aquitania Way Docklands,1 aquitania way docklands,Docklands,117870,Aquitania Way,Docklands|117870,-37.81351969,144.94160353
1 Arden Lane North Melbourne,1 arden lane north melbourne,North and West Melbourne,394,Arden Lane,North and West Melbourne|394,-37.80074485,144.95113905
1 Arden Street North Melbourne,1 arden street north melbourne,North and West Melbourne,395,Arden Street,North and West Melbourne|395,-37.80140821,144.95269288
1 Argyle Place East Carlton,1 argyle place east carlton,Carlton,396,Argyle Place East,Carlton|396,-37.80360127,144.96716546
1 Argyle Place North Carlton,1 argyle place north carlton,Carlton,397,Argyle Place North,Carlton|397,-37.80221142,144.96647405
1 Argyle Place South Carlton,1 argyle place south carlton,Carlton,398,Argyle Place South,Carlton|398,-37.80365352,144.96621988
1 Armadale Street Melbourne,1 armadale street melbourne,Central City,384,Armadale Street,Central City|384,-37.84111658,144.97880472
1 Arnold Street Melbourne,1 arnold street melbourne,Central City,399,Arnold Street,Central City|399,-37.83638251,144.97626134
1 Astor Place Carlton,1 astor place carlton,Carlton,1203,Astor Place,Carlton|1203,-37.79683280,144.96780496
1 Atkin Street North Melbourne,1 atkin street north melbourne,North and West Melbourne,403,Atkin Street,North and West Melbourne|403,-37.80357913,144.94828054
1 Augusta Avenue Docklands,1 augusta avenue docklands,Docklands,120052,Augusta Avenue,Docklands|120052,-37.81575133,144.93789285
