asset_id,object_ids,project_precinct_id,project_precinct,resolved_longitude,resolved_latitude,easting_epsg7855,northing_epsg7855,area_m2,neighbourhood,site_type,site,assessed_bed_types,botanical_names,common_names,inventory_row_count,source_dataset_id,source_record_id,source_retrieved_at_utc,processing_method_version
1468808,"[""16043""]",carlton,Carlton,144.96597609,-37.8022564,320930.2326,5814175.97,6.0,Carlton,Park,Argyle Square,"[""Mulch bed""]",[],[],1,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468808,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468809,"[""15190""]",carlton,Carlton,144.97335131,-37.80571095,321587.9084,5813806.744,55.0,Carlton,Park,Carlton Gardens South,"[""Mulch bed""]",[],[],1,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468809,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468811,"[""16024"", ""16025"", ""16026"", ""16027"", ""16028"", ""16029"", ""16030"", ""16031"", ""16032"", ""16033"", ""16034"", ""16035"", ""16036""]",carlton,Carlton,144.96627045,-37.80257717,320956.9245,5814140.94,321.0,Carlton,Park,Argyle Square,"[""Perennial bed""]","[""Buddleja davidii"", ""Cistus purpureus"", ""Coleus argentatus"", ""Doryanthes excelsa"", ""Heliotropium arborescens"", ""Lavandula angustifolia"", ""Nepeta x faassenii"", ""Salvia guarantica"", ""Salvia leucantha"", ""Salvia microphylla"", ""Salvia rosmarinus"", ""Syzygium australe""]","[""Anise-scented Sage"", ""Baby Sage"", ""Butterfly bush"", ""English Lavender"", ""Garden Catmint"", ""Gymea Lily"", ""Heliotrope"", ""Lily Pily"", ""Mexican Bush Sage"", ""Orchid Rockrose"", ""Rosemary"", ""Silver Spurflower""]",13,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468813,"[""16052""]",carlton,Carlton,144.9656778,-37.80257768,320904.7448,5814139.747,6.0,Carlton,Park,Argyle Square,"[""Mulch bed""]",[],[],1,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468813,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468816,"[""15227"", ""15228""]",carlton,Carlton,144.97072473,-37.80548448,321356.1132,5813826.855,32.0,Carlton,Park,Carlton Gardens South,"[""Perennial bed""]","[""Euryops pectinatus""]","[""Grey-leaved Euryops""]",2,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468816,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468817,"[""15677"", ""15678"", ""15679"", ""15680"", ""15681"", ""15682"", ""15683"", ""15684"", ""15685"", ""15686"", ""15687"", ""15688"", ""15689"", ""15690"", ""15691"", ""15692"", ""15693"", ""15694"", ""15695"", ""15696"", ""15697"", ""15698"", ""15699"", ""15700""]",carlton,Carlton,144.97043218,-37.80139209,321320.4921,5814280.411,563.0,Carlton,Park,Carlton Gardens North,"[""Perennial bed""]","[""Acanthus mollis"", ""Acer palmatum"", ""Agapanthus praecox subsp. orientalis"", ""Alocasia macrorrhizos"", ""Arthropodium cirratum"", ""Canna indica"", ""Cercis canadensis"", ""Coleus argentatus"", ""Curio repens"", ""Euphorbia characias"", ""Geum sp."", ""Hemerocallis fulva"", ""Hydrangea macrophylla"", ""Hylotelephium spectabile"", ""Iris sp."", ""Lagerstroemia indica"", ""Liriope muscari"", ""Loropetalum chinense"", ""Nandina domestica"", ""Salvia leucantha"", ""Stachys byzantina"", ""Tradescantia pallida"", ""Viola labradorica""]","[""Agapanthus"", ""Alpine Violet"", ""Bear's Breeches"", ""Big-leaved Hydrangea"", ""Chalk Sticks"", ""Chinese Fringe Flower"", ""Crepe-myrtle"", ""Eastern Redbud"", ""Giant Taro"", ""Indian Shot"", ""Japanese Maple"", ""Lamb's Ear"", ""Lily Turf"", ""Mediterranean Spurge"", ""Mexican Bush Sage"", ""New Zealand Rock Lily"", ""Orange Day-lily"", ""Purple Heart"", ""Sacred Bamboo"", ""Showy Stonecrop"", ""Silver Spurflower""]",24,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468817,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468926,"[""16047""]",carlton,Carlton,144.96606182,-37.80261833,320938.6543,5814135.973,6.0,Carlton,Park,Argyle Square,"[""Mulch bed""]",[],[],1,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468926,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468927,"[""16094"", ""16095"", ""16096"", ""16097"", ""16098""]",carlton,Carlton,144.96341822,-37.80234787,320705.2416,5814160.915,89.0,Carlton,Park,Lincoln Square,"[""Perennial bed""]","[""Doryanthes excelsa"", ""Hardenbergia violacea"", ""Lomandra confertifolia"", ""Miscanthus x giganteus""]","[""Giant Miscanthus"", ""Gymea Lily"", ""Mat-rush"", ""Purple Coral-pea""]",5,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468927,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468929,"[""15231"", ""15232""]",carlton,Carlton,144.97054566,-37.80546556,321340.3013,5813828.612,32.0,Carlton,Park,Carlton Gardens South,"[""Perennial bed""]","[""Euryops pectinatus""]","[""Grey-leaved Euryops""]",2,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468929,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
1468930,"[""15188""]",carlton,Carlton,144.97287638,-37.80614056,321547.1295,5813758.164,46.0,Carlton,Park,Carlton Gardens South,"[""Mulch bed""]",[],[],1,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468930,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
