objectid,asset_id_no_fill,asset_id,asessment_date_current,assessed_bed_type,bed_type_origin,spatial_dimensions_match,botanical_name,common_name,origin,form,level_of_certainty,dominant_species_only_above_25,logs_present_absent,logs_cover_lineal_m,rocks_present_absent,rocks_percentage_cover,plant_cover_ground_layer,plant_cover_score,plant_condition,plant_condition_score,mulch_condition,mulch_score,weed_percentage_number,weed_cover_score,infrastructure_condition,infrastructure_score,total_score_26_beds_15_mulch,overall_condition_rating,condition_rating_score,neighbourhood,area_m2,site_type,site,irrigation,previous_condition,corridor,x_coord,y_coord,project_precinct_id,project_precinct,resolved_longitude,resolved_latitude,source_dataset_id,source_record_id,source_retrieved_at_utc,processing_method_version
16043,1468808,1468808,2024-02-15,Mulch bed,Exotic,Yes,NA,NA,NA,NA,NA,NA,Absent,0,Absent,0,<10%,0,Absent ( <10% plant cover),1,"Full coverage, sufficient depth (>3 cm)",4,Low (<20%),5,Good/new/ NA (no edging),5,15,Very good condition,4,Carlton,6,Park,Argyle Square,Yes,4,1468808,320930.2326,5814175.97,carlton,Carlton,144.96597609,-37.8022564,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468808,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
15190,1468809,1468809,2024-01-02,Mulch bed,Exotic,Yes,NA,NA,NA,NA,NA,NA,Absent,0,Absent,0,<10%,0,Absent ( <10% plant cover),1,"Full coverage, fairly broken down and shallow (<3 cm)",3,Low (<20%),5,Good/new/ NA (no edging),5,14,Very good condition,4,Carlton,55,Park,Carlton Gardens South,Yes,4,No,321587.9084,5813806.744,carlton,Carlton,144.97335131,-37.80571095,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468809,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16031,,1468811,2024-02-15,Perennial bed,Mixed,NA,Buddleja davidii,Butterfly bush,Exotic,Shrub,1,NA,NA,NA,NA,NA,NA,6,Mature & healthy,4,NA,3,NA,5,NA,NA,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,,,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16027,,1468811,2024-02-15,Perennial bed,Mixed,NA,Cistus purpureus,Orchid Rockrose,Exotic,Shrub,1,NA,NA,NA,NA,NA,NA,6,Mature & healthy,4,NA,3,NA,5,NA,NA,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,,,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16026,,1468811,2024-02-15,Perennial bed,Mixed,NA,Coleus argentatus,Silver Spurflower,Native,Perennial Herb,1,25-50%,NA,NA,NA,NA,NA,6,Mature & healthy,4,NA,3,NA,5,NA,NA,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,,,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16029,,1468811,2024-02-15,Perennial bed,Mixed,NA,Doryanthes excelsa,Gymea Lily,Native,Grasslike Perennial,1,NA,NA,NA,NA,NA,NA,6,Mature & healthy,4,NA,3,NA,5,NA,NA,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,,,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16028,,1468811,2024-02-15,Perennial bed,Mixed,NA,Heliotropium arborescens,Heliotrope,Exotic,Shrub,1,NA,NA,NA,NA,NA,NA,6,Mature & healthy,4,NA,3,NA,5,NA,NA,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,,,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16035,,1468811,2024-02-15,Perennial bed,Mixed,NA,Lavandula angustifolia,English Lavender,Exotic,Shrub,1,NA,NA,NA,NA,NA,NA,6,Mature & healthy,4,NA,3,NA,5,NA,NA,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,,,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16024,1468811,1468811,2024-02-15,Perennial bed,Mixed,Yes,NA,NA,NA,NA,NA,NA,Absent,0,Absent,0,>76%,6,Mature & healthy,4,"Full coverage, fairly broken down and shallow (<3 cm)",3,Low (<20%),5,Good/new/ NA (no edging),5,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,320956.9245,5814140.94,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
16030,,1468811,2024-02-15,Perennial bed,Mixed,NA,Nepeta x faassenii,Garden Catmint,Exotic,Perennial Herb,1,NA,NA,NA,NA,NA,NA,6,Mature & healthy,4,NA,3,NA,5,NA,NA,23,Very good condition,4,Carlton,321,Park,Argyle Square,Yes,4,1468811,,,carlton,Carlton,144.96627045,-37.80257717,renewals-for-nature-city-of-melbourne-garden-bed-inventory-2024,1468811,2026-09-13T09:00:15+00:00,city_vegetation_project_polygon_v1
