precinct_id,suburb,boundary_source,suburb_area_km2,precinct_area_ha,canopy_area_km2,canopy_coverage_pct,plant_species_count,animal_species_count,plant_density_per_ha,animal_density_per_ha,species_density_per_ha,pollinator_flowering_plant_species_count,pollinator_insect_species_count,relevant_bird_species_count,tree_record_count,garden_plant_row_count,canopy_polygon_count,pollinator_insect_occurrence_count,relevant_bird_occurrence_count,address_count,pollination_corridor_count,pollination_corridor_status,canopy_score_0_100,plant_density_score_0_100,animal_density_score_0_100,biodiversity_score_0_100,biodiversity_score_version
carlton,Carlton,Vicmap Admin locality clipped to Melbourne LGA,1.7486,174.8562,0.2782,15.91,442,46,2.527792,0.263073,2.790865,42,16,30,4352,1058,7890,64,2289,7402,,not_available_until_iteration_2_review,56.76,67.84,67.08,63.89,v1_provisional_canopy_plant_animal
central_city,Central City,Vicmap Admin locality clipped to Melbourne LGA,5.3409,534.0867,0.9817,18.38,797,101,1.492267,0.189108,1.681375,46,51,50,9184,1811,15440,361,55783,14896,,not_available_until_iteration_2_review,68.0,31.96,43.75,47.9,v1_provisional_canopy_plant_animal
docklands,Docklands,Vicmap Admin locality clipped to Melbourne LGA,2.5687,256.8733,0.0882,3.44,417,32,1.623368,0.124575,1.747943,37,7,25,5534,1830,5200,14,2640,3648,,not_available_until_iteration_2_review,0.0,36.5,23.4,19.97,v1_provisional_canopy_plant_animal
east_melbourne,East Melbourne,Vicmap Admin locality clipped to Melbourne LGA,1.8546,185.4627,0.4593,24.76,641,49,3.456221,0.264204,3.720425,41,14,35,4434,1512,9345,29,3840,3591,,not_available_until_iteration_2_review,97.04,100.0,67.43,88.16,v1_provisional_canopy_plant_animal
fishermans_bend,Fishermans Bend,Victorian Planning Melbourne DDO74 and DDO67 Fishermans Bend polygons,2.0363,203.6256,0.0936,4.6,116,19,0.569673,0.093309,0.662982,16,3,16,1791,26,3864,3,111,1233,,not_available_until_iteration_2_review,5.28,0.0,13.54,6.27,v1_provisional_canopy_plant_animal
kensington,Kensington,Vicmap Admin locality clipped to Melbourne LGA,2.1351,213.5112,0.3001,14.06,597,42,2.796106,0.196711,2.992817,50,14,28,7551,1582,13567,33,805,7808,,not_available_until_iteration_2_review,48.34,77.13,46.15,57.21,v1_provisional_canopy_plant_animal
north_and_west_melbourne,North and West Melbourne,Vicmap Admin locality clipped to Melbourne LGA,9.1324,913.2358,0.5274,5.77,570,46,0.624154,0.05037,0.674525,51,14,32,11585,1317,17645,27,3582,13875,,not_available_until_iteration_2_review,10.61,1.89,0.0,4.17,v1_provisional_canopy_plant_animal
parkville,Parkville,Vicmap Admin locality clipped to Melbourne LGA,4.0271,402.7088,0.8175,20.3,590,133,1.465078,0.330263,1.795342,40,74,59,28569,3336,19758,766,94529,3286,,not_available_until_iteration_2_review,76.74,31.02,88.26,65.34,v1_provisional_canopy_plant_animal
south_yarra,South Yarra,Vicmap Admin locality clipped to Melbourne LGA,1.0613,106.1289,0.2696,25.41,289,39,2.723102,0.367477,3.09058,34,7,32,2588,359,5477,10,6841,2833,,not_available_until_iteration_2_review,100.0,74.6,100.0,91.53,v1_provisional_canopy_plant_animal
southbank,Southbank,Vicmap Admin locality clipped to Melbourne LGA,1.309,130.8958,0.139,10.62,302,37,2.307178,0.282668,2.589846,30,13,24,2325,572,5266,26,1215,2841,,not_available_until_iteration_2_review,32.68,60.19,73.26,55.38,v1_provisional_canopy_plant_animal
