scientific_name,study_name,pollinator_linked_study_record_count,asset_row_count,sources,suburb_count,suburbs,classification_basis
Acacia acinacea,Acacia acinacea,28,198,garden_bed_inventory|urban_forest_trees,9,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Acacia cognata,Acacia cognata,5,43,garden_bed_inventory,10,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Acacia implexa,Acacia implexa,2,1622,garden_bed_inventory|urban_forest_trees,10,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Acacia mearnsii,Acacia mearnsii,13,1557,garden_bed_inventory|urban_forest_trees,7,Docklands|Kensington|North Melbourne|Parkville|Port Melbourne|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Acacia melanoxylon,Acacia melanoxylon,2,1448,garden_bed_inventory|urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Acacia verniciflua,Acacia verniciflua,10,134,garden_bed_inventory|urban_forest_trees,1,Parkville,plant associated with an insect labelled pol=1 in the supplied study
Acanthus mollis,Acanthus mollis,14,76,garden_bed_inventory,7,Carlton|East Melbourne|Kensington|Melbourne|North Melbourne|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Allocasuarina verticillata,Allocasuarina verticillata,5,3452,urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Angophora costata,Angophora costata,5,1326,urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Artemisia arborescens,Artemisia arborescens,14,6,garden_bed_inventory,3,Carlton|East Melbourne|Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Aucuba japonica,Aucuba japonica,3,23,garden_bed_inventory,4,Carlton|East Melbourne|Melbourne|South Yarra,plant associated with an insect labelled pol=1 in the supplied study
Bursaria spinosa,Bursaria spinosa,30,1648,garden_bed_inventory|urban_forest_trees,10,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Calodendrum capense,Calodendrum capense,2,55,urban_forest_trees,10,Carlton|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Canna indica,Canna indica,5,81,garden_bed_inventory,6,Carlton|East Melbourne|Kensington|Melbourne|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Carex flagellifera,Carex flagellifera,8,2,garden_bed_inventory,1,South Yarra,plant associated with an insect labelled pol=1 in the supplied study
Celtis australis,Celtis australis,3,539,garden_bed_inventory|urban_forest_trees,10,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Cercis canadensis,Cercis canadensis,2,3,garden_bed_inventory,2,Carlton|East Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Chlorophytum comosum,Chlorophytum comosum,3,51,garden_bed_inventory,8,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Cistus sp.,Cistus sp.,3,1,garden_bed_inventory,1,Kensington,plant associated with an insect labelled pol=1 in the supplied study
Clivia miniata,Clivia miniata,10,114,garden_bed_inventory,9,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Correa glabra,Correa glabra,5,146,garden_bed_inventory,10,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Correa reflexa,Correa reflexa,10,25,garden_bed_inventory,7,Carlton|Docklands|Kensington|Parkville|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Corymbia maculata,Corymbia maculata,14,2877,garden_bed_inventory|urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Dianella sp.,Dianella sp.,3,4,garden_bed_inventory,1,East Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Dichanthium sericeum,Dichanthium sericeum,6,31,garden_bed_inventory,4,Carlton|Docklands|Kensington|Parkville,plant associated with an insect labelled pol=1 in the supplied study
Duma florulenta,Duma florulenta,2,3,garden_bed_inventory,2,Parkville|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Echium candicans,Echium candicans,5,33,garden_bed_inventory,9,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Enchylaena tomentosa,Enchylaena tomentosa,18,153,garden_bed_inventory,9,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Eucalyptus camaldulensis,Eucalyptus camaldulensis,8,8338,urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Eucalyptus sideroxylon,Eucalyptus sideroxylon,14,679,urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Eucalyptus tricarpa,Eucalyptus tricarpa,4,34,urban_forest_trees,3,Carlton|Melbourne|Parkville,plant associated with an insect labelled pol=1 in the supplied study
Ficus macrophylla,Ficus macrophylla,20,711,urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Fraxinus angustifolia,Fraxinus angustifolia,1,132,garden_bed_inventory|urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Goodenia ovata,Goodenia ovata,15,70,garden_bed_inventory,7,Carlton|East Melbourne|Kensington|North Melbourne|Parkville|South Yarra|Southbank,plant associated with an insect labelled pol=1 in the supplied study
Hakea sp.,Hakea sp.,2,39,urban_forest_trees,3,Kensington|Parkville|Port Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Kniphofia sp.,Kniphofia sp.,6,14,garden_bed_inventory,6,Carlton|Docklands|East Melbourne|Kensington|North Melbourne|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Lavandula sp.,Lavandula sp.,10,8,garden_bed_inventory,2,Docklands|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Lomandra longifolia,Lomandra longifolia,25,658,garden_bed_inventory,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Lophostemon confertus,Lophostemon confertus,10,894,urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Melaleuca armillaris,Melaleuca armillaris,4,67,garden_bed_inventory|urban_forest_trees,6,Carlton|Kensington|Parkville|Port Melbourne|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Melaleuca styphelioides,Melaleuca styphelioides,7,302,garden_bed_inventory|urban_forest_trees,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Miscanthus sinensis,Miscanthus sinensis,4,37,garden_bed_inventory,6,Carlton|Docklands|East Melbourne|Kensington|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Nandina domestica,Nandina domestica,23,97,garden_bed_inventory,9,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Nerium oleander,Nerium oleander,9,32,garden_bed_inventory|urban_forest_trees,6,East Melbourne|Kensington|Parkville|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Olea europaea,Olea europaea,1,54,garden_bed_inventory|urban_forest_trees,8,Carlton|Docklands|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Ozothamnus ferrugineus,Ozothamnus ferrugineus,5,15,garden_bed_inventory|urban_forest_trees,3,Kensington|Parkville|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Pittosporum sp.,Pittosporum sp.,5,22,urban_forest_trees,4,East Melbourne|Port Melbourne|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Poa labillardierei,Poa labillardierei,55,273,garden_bed_inventory,10,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Quercus bicolor,Quercus bicolor,9,75,urban_forest_trees,6,Carlton|East Melbourne|Melbourne|North Melbourne|South Yarra|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
Quercus robur,Quercus robur,2,325,garden_bed_inventory|urban_forest_trees,9,Carlton|Docklands|East Melbourne|Kensington|Melbourne|Parkville|South Yarra|Southbank|West Melbourne,plant associated with an insect labelled pol=1 in the supplied study
