scientific_name,family,order,lga_occurrence_count,suburb_count,suburbs,exact_local_species_evidence,evidence_level,classification_basis
Amblyopone australis,Formicidae,Hymenoptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Amegilla asserta,Apidae,Hymenoptera,7,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Amegilla chlorocyanea,Apidae,Hymenoptera,2,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Apis mellifera,Apidae,Hymenoptera,430,11,Carlton|Docklands|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,True,exact_species_label,species labelled pol=1 in supplied Melbourne functional-group study
Australophyra rostrata,Muscidae,Diptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Austrogorytes spryi,Crabronidae,Hymenoptera,6,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Austroponera rufonigra,Formicidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Austroscolia soror,Scoliidae,Hymenoptera,13,4,Kensington|Melbourne|Parkville|Port Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Bembix furcata,Crabronidae,Hymenoptera,7,1,Port Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Bembix palmata,Crabronidae,Hymenoptera,3,1,Port Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Boreoides subulatus,Stratiomyidae,Diptera,2,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Calliphora ochracea,Calliphoridae,Diptera,27,3,East Melbourne|Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Calliphora vicina,Calliphoridae,Diptera,14,6,Carlton|Kensington|Melbourne|Parkville|Port Melbourne|Southbank,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Callomelitta picta,Colletidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Camponotus aeneopilosus,Formicidae,Hymenoptera,6,2,Carlton|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Camponotus consobrinus,Formicidae,Hymenoptera,78,2,Carlton|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Chauliognathus lugubris,Cantharidae,Coleoptera,136,8,Carlton|Docklands|East Melbourne|Kensington|Melbourne|Parkville|South Yarra|Southbank,True,exact_species_label,species labelled pol=1 in supplied Melbourne functional-group study
Chauliognathus tricolor,Cantharidae,Coleoptera,23,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Chelaner kiliani,Formicidae,Hymenoptera,18,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Clitemnestra plomleyi,Crabronidae,Hymenoptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Colobopsis gasseri,Formicidae,Hymenoptera,22,3,Docklands|Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Ctenochares bicolorus,Ichneumonidae,Hymenoptera,6,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
