scientific_name,trait_scientific_name,common_name,feeding_guild,diet_invertebrates_pct,diet_nectar_pct,diet_fruit_pct,diet_seed_pct,role_pollination,role_seed_dispersal,role_insect_food_web,diet_certainty,diet_certainty_definition,trait_match_basis,lga_occurrence_count,suburb_count,suburbs
Acanthagenys rufogularis,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Omnivore,40.0,30.0,10.0,10.0,True,True,True,A,high certainty,supplied_name,417,3,Docklands|North and West Melbourne|Parkville
Acanthiza lineata,Acanthiza lineata,Striated Thornbill,Invertebrate,60.0,20.0,0.0,20.0,True,False,True,A,high certainty,supplied_name,1,1,East Melbourne
Acanthiza pusilla,Acanthiza pusilla,Brown Thornbill,Invertebrate,70.0,10.0,10.0,10.0,True,True,True,A,high certainty,supplied_name,4826,9,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Eastern Spinebill,Omnivore,50.0,50.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,4589,6,Central City|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra
Acridotheres tristis,Acridotheres tristis,Common Myna,Omnivore,40.0,10.0,10.0,10.0,True,True,True,A,high certainty,supplied_name,15730,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Alisterus scapularis,Alisterus scapularis,Australian King-parrot,PlantSeed,0.0,10.0,30.0,30.0,True,True,False,A,high certainty,supplied_name,275,7,Carlton|Central City|East Melbourne|North and West Melbourne|Parkville|South Yarra|Southbank
Anthochaera carunculata,Anthochaera carunculata,Red Wattlebird,FruiNect,20.0,70.0,10.0,0.0,True,True,True,A,high certainty,supplied_name,13807,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Anthochaera chrysoptera,Anthochaera chrysoptera,Little Wattlebird,FruiNect,20.0,70.0,10.0,0.0,True,True,True,A,high certainty,supplied_name,6787,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Artamus cyanopterus,Artamus cyanopterus,Dusky Woodswallow,Invertebrate,70.0,10.0,10.0,10.0,True,True,True,A,high certainty,supplied_name,3,1,Parkville
Artamus personatus,Artamus personatus,Masked Woodswallow,Invertebrate,90.0,10.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,2,1,Parkville
Artamus superciliosus,Artamus superciliosus,White-browed Woodswallow,Invertebrate,90.0,10.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,3,1,Central City
Cacatua galerita,Cacatua galerita,Sulphur-crested Cockatoo,PlantSeed,0.0,0.0,40.0,40.0,False,True,False,A,high certainty,supplied_name,4276,9,Carlton|Central City|Docklands|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Caligavis chrysops,Lichenostomus chrysops,Yellow-faced Honeyeater,FruiNect,20.0,40.0,20.0,20.0,True,True,True,A,high certainty,exact_accepted_name,24,2,Central City|Parkville
Callocephalon fimbriatum,Callocephalon fimbriatum,Gang-gang Cockatoo,Omnivore,20.0,0.0,40.0,40.0,False,True,True,A,high certainty,supplied_name,108,3,Central City|East Melbourne|Parkville
Carduelis carduelis,Carduelis carduelis,European Goldfinch,PlantSeed,10.0,0.0,20.0,40.0,False,True,True,A,high certainty,supplied_name,363,7,Central City|Docklands|Fishermans Bend|North and West Melbourne|Parkville|South Yarra|Southbank
Colluricincla harmonica,Colluricincla harmonica,Grey Shrike-thrush,Invertebrate,60.0,0.0,10.0,10.0,False,True,True,A,high certainty,supplied_name,1657,4,Carlton|Central City|East Melbourne|Parkville
Coracina novaehollandiae,Coracina novaehollandiae,Black-faced Cuckooshrike,Omnivore,50.0,0.0,20.0,30.0,False,True,True,A,high certainty,supplied_name,1196,8,Central City|Docklands|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Corvus mellori,Corvus mellori,Little Raven,Omnivore,30.0,10.0,10.0,10.0,True,True,True,A,high certainty,supplied_name,12654,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Cracticus torquatus,Cracticus torquatus,Grey Butcherbird,Omnivore,40.0,10.0,20.0,10.0,True,True,True,A,high certainty,supplied_name,7049,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Dicaeum hirundinaceum,Dicaeum hirundinaceum,Mistletoebird,Invertebrate,60.0,20.0,20.0,0.0,True,True,True,A,high certainty,supplied_name,1136,3,Central City|Parkville|South Yarra
Entomyzon cyanotis,Entomyzon cyanotis,Blue-faced Honeyeater,Invertebrate,60.0,20.0,10.0,0.0,True,True,True,A,high certainty,supplied_name,2,2,Central City|Parkville
Eudynamys orientalis,Eudynamys orientalis,Eastern Koel,FruiNect,10.0,10.0,80.0,0.0,True,True,True,A,high certainty,supplied_name,122,6,Carlton|Central City|East Melbourne|North and West Melbourne|Parkville|South Yarra
Gallus gallus,Gallus gallus,Red Junglefowl,Omnivore,30.0,0.0,20.0,20.0,False,True,True,A,high certainty,supplied_name,2,1,Kensington
Gavicalis virescens,Lichenostomus virescens,Singing Honeyeater,Invertebrate,60.0,20.0,20.0,0.0,True,True,True,A,high certainty,exact_accepted_name,9,1,Parkville
Glossopsitta concinna,Glossopsitta concinna,Musk Lorikeet,Omnivore,10.0,30.0,10.0,10.0,True,True,True,A,high certainty,supplied_name,104,5,Carlton|Central City|East Melbourne|Kensington|Parkville
Hypotaenidia philippensis,Gallirallus philippensis,Buff-banded Rail,Omnivore,20.0,0.0,10.0,10.0,False,True,True,A,high certainty,exact_accepted_name,728,7,Carlton|Central City|Docklands|North and West Melbourne|Parkville|South Yarra|Southbank
Lalage tricolor,Lalage tricolor,White-winged Triller,Invertebrate,80.0,0.0,10.0,10.0,False,True,True,A,high certainty,supplied_name,13,2,Central City|Parkville
Lathamus discolor,Lathamus discolor,Swift Parrot,FruiNect,20.0,80.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,225,3,Central City|Parkville|South Yarra
Lichenostomus melanops,Lichenostomus melanops,Yellow-tufted Honeyeater,Omnivore,50.0,40.0,10.0,0.0,True,True,True,A,high certainty,supplied_name,1,1,Parkville
Malurus cyaneus,Malurus cyaneus,Superb Fairywren,Invertebrate,80.0,0.0,10.0,10.0,False,True,True,A,high certainty,supplied_name,7449,8,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville
Manorina melanocephala,Manorina melanocephala,Noisy Miner,Omnivore,40.0,30.0,10.0,10.0,True,True,True,A,high certainty,supplied_name,15596,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Manorina melanophrys,Manorina melanophrys,Bell Miner,Invertebrate,70.0,20.0,10.0,0.0,True,True,True,A,high certainty,supplied_name,7375,8,Carlton|Central City|Docklands|East Melbourne|North and West Melbourne|Parkville|South Yarra|Southbank
Melithreptus gularis,Melithreptus gularis,Black-chinned Honeyeater,Omnivore,40.0,50.0,0.0,10.0,True,False,True,A,high certainty,supplied_name,1,1,Parkville
Melithreptus lunatus,Melithreptus lunatus,White-naped Honeyeater,Invertebrate,70.0,30.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,106,5,Central City|Docklands|Kensington|Parkville|Southbank
Myzomela sanguinolenta,Myzomela sanguinolenta,Scarlet Myzomela,FruiNect,10.0,80.0,10.0,0.0,True,True,True,A,high certainty,supplied_name,16,1,Parkville
Nesoptilotis leucotis,Lichenostomus leucotis,White-eared Honeyeater,Invertebrate,60.0,30.0,10.0,0.0,True,True,True,A,high certainty,exact_accepted_name,1,1,Parkville
Numida meleagris,Numida meleagris,Helmeted Guineafowl,PlantSeed,30.0,0.0,10.0,20.0,False,True,True,A,high certainty,supplied_name,4,1,Parkville
Oriolus sagittatus,Oriolus sagittatus,Olive-backed Oriole,FruiNect,20.0,10.0,50.0,10.0,True,True,True,A,high certainty,supplied_name,100,3,Central City|Parkville|South Yarra
Pachycephala pectoralis,Pachycephala pectoralis,Golden Whistler,Invertebrate,70.0,0.0,20.0,10.0,False,True,True,A,high certainty,supplied_name,247,4,Central City|East Melbourne|Fishermans Bend|Parkville
Pachycephala rufiventris,Pachycephala rufiventris,Rufous Whistler,Invertebrate,70.0,0.0,10.0,10.0,False,True,True,A,high certainty,supplied_name,187,3,Central City|Docklands|Parkville
Pardalotus punctatus,Pardalotus punctatus,Spotted Pardalote,Invertebrate,60.0,40.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,5290,8,Carlton|Central City|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Pardalotus striatus,Pardalotus striatus,Striated Pardalote,Invertebrate,80.0,20.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,480,4,Carlton|Central City|Parkville|South Yarra
Parvipsitta porphyrocephala,Glossopsitta porphyrocephala,Purple-crowned Lorikeet,FruiNect,0.0,70.0,30.0,0.0,True,True,False,A,high certainty,exact_accepted_name,2,2,Carlton|Parkville
Parvipsitta pusilla,Glossopsitta pusilla,Little Lorikeet,FruiNect,0.0,40.0,30.0,0.0,True,True,False,A,high certainty,exact_accepted_name,6,1,Parkville
Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,New Holland Honeyeater,FruiNect,30.0,70.0,0.0,0.0,True,False,True,A,high certainty,supplied_name,6106,9,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|Southbank
Platycercus elegans,Platycercus elegans,Crimson Rosella,PlantSeed,10.0,0.0,30.0,30.0,False,True,True,A,high certainty,supplied_name,346,8,Carlton|Central City|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Platycercus eximius,Platycercus eximius,Eastern Rosella,PlantSeed,10.0,0.0,30.0,30.0,False,True,True,A,high certainty,supplied_name,2435,8,Carlton|Central City|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Psephotus haematonotus,Psephotus haematonotus,Red-rumped Parrot,PlantSeed,0.0,0.0,30.0,40.0,False,True,False,A,high certainty,supplied_name,3107,8,Carlton|Central City|Docklands|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra
Psittacula krameri,Psittacula krameri,Rose-ringed Parakeet,FruiNect,0.0,10.0,50.0,20.0,True,True,False,A,high certainty,supplied_name,22,4,Central City|Kensington|North and West Melbourne|Parkville
Ptilotula penicillata,Lichenostomus penicillatus,White-plumed Honeyeater,Invertebrate,60.0,20.0,10.0,0.0,True,True,True,A,high certainty,exact_accepted_name,6747,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Pycnonotus jocosus,Pycnonotus jocosus,Red-whiskered Bulbul,Omnivore,20.0,20.0,20.0,20.0,True,True,True,A,high certainty,supplied_name,1,1,East Melbourne
Scythrops novaehollandiae,Scythrops novaehollandiae,Channel-billed Cuckoo,FruiNect,30.0,0.0,60.0,0.0,False,True,True,A,high certainty,supplied_name,8,1,Parkville
Sericornis frontalis,Sericornis frontalis,White-browed Scrubwren,Invertebrate,60.0,0.0,20.0,20.0,False,True,True,A,high certainty,supplied_name,6283,8,Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra
Sphecotheres vieilloti,Sphecotheres viridis,Timor Figbird,FruiNect,0.0,0.0,100.0,0.0,False,True,False,A,high certainty,exact_accepted_name,140,2,Central City|South Yarra
Stercorarius parasiticus,Stercorarius parasiticus,Parasitic Jaeger,VertFishScav,20.0,0.0,20.0,0.0,False,True,True,A,high certainty,supplied_name,17,0,
Strepera graculina,Strepera graculina,Pied Currawong,Omnivore,30.0,0.0,30.0,20.0,False,True,True,A,high certainty,supplied_name,8366,9,Carlton|Central City|Docklands|East Melbourne|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Strepera versicolor,Strepera versicolor,Grey Currawong,Omnivore,40.0,0.0,10.0,10.0,False,True,True,A,high certainty,supplied_name,67,7,Carlton|Central City|East Melbourne|North and West Melbourne|Parkville|South Yarra|Southbank
Sturnus vulgaris,Sturnus vulgaris,Common Starling,Omnivore,20.0,10.0,30.0,20.0,True,True,True,A,high certainty,supplied_name,6126,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Trichoglossus chlorolepidotus,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,FruiNect,0.0,60.0,30.0,0.0,True,True,False,A,high certainty,supplied_name,114,2,Central City|Parkville
Trichoglossus moluccanus,Trichoglossus haematodus,Rainbow Lorikeet,FruiNect,0.0,40.0,30.0,30.0,True,True,False,A,high certainty,exact_accepted_name,16215,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Turdus merula,Turdus merula,Eurasian Blackbird,Omnivore,50.0,0.0,20.0,20.0,False,True,True,A,high certainty,supplied_name,9320,10,Carlton|Central City|Docklands|East Melbourne|Fishermans Bend|Kensington|North and West Melbourne|Parkville|South Yarra|Southbank
Turdus philomelos,Turdus philomelos,Song Thrush,Omnivore,40.0,0.0,30.0,30.0,False,True,True,A,high certainty,supplied_name,38,3,Central City|East Melbourne|Parkville
Turnix varius,Turnix varius,Painted Buttonquail,Omnivore,20.0,0.0,30.0,30.0,False,True,True,A,high certainty,supplied_name,12,4,Carlton|Central City|Kensington|Parkville
Zapornia tabuensis,Porzana tabuensis,Spotless Crake,Omnivore,40.0,0.0,20.0,20.0,False,True,True,A,high certainty,exact_accepted_name,795,2,Central City|Parkville
