street_key,street_id,street_name,suburb,centroid_latitude,centroid_longitude,address_count,planted_tree_count,planted_tree_species_count,garden_plant_row_count,garden_plant_species_count,plant_species_count,pollinator_flowering_plant_species_count,nearby_canopy_area_m2,nearby_canopy_polygon_count
Carlton|379,379,Alma Place,Carlton,-37.8056698,144.9610943,23,0,0,0,0,0,0,1227.56,9
Carlton|396,396,Argyle Place East,Carlton,-37.8035845,144.9670748,7,0,0,0,0,0,0,141.01,16
Carlton|397,397,Argyle Place North,Carlton,-37.8020169,144.9659443,38,37,9,6,6,15,2,501.33,9
Carlton|398,398,Argyle Place South,Carlton,-37.803456,144.9656993,36,21,3,2,1,4,2,98.71,13
Carlton|1203,1203,Astor Place,Carlton,-37.7968393,144.9681237,23,0,0,0,0,0,0,138.46,19
Carlton|414,414,Barkly Place,Carlton,-37.8030377,144.9613517,8,1,1,0,0,1,0,299.52,19
Carlton|415,415,Barkly Street,Carlton,-37.7993268,144.9725017,153,73,8,0,0,8,1,5274.49,126
Carlton|419,419,Barrup Street,Carlton,-37.8002744,144.9736109,16,22,4,12,3,7,2,682.01,16
Carlton|421,421,Barry Street,Carlton,-37.8020447,144.9597221,151,123,24,38,34,57,4,2610.15,91
Carlton|117733,117733,Belle Vue Place,Carlton,-37.79729,144.9725011,5,0,0,0,0,0,0,17.92,14
Carlton|441,441,Berkeley Street,Carlton,-37.8026817,144.9591455,111,49,9,0,0,9,1,811.01,63
Carlton|456,456,Bouverie Street,Carlton,-37.8036261,144.9618909,210,121,10,0,0,10,3,6928.32,172
Carlton|479,479,Canning Street,Carlton,-37.7964588,144.9731054,211,226,23,6,5,27,4,3478.1,230
Carlton|483,483,Cardigan Street,Carlton,-37.8002899,144.9654928,459,288,32,16,10,42,7,18610.78,423
Carlton|485,485,Carlow Place,Carlton,-37.7994262,144.9709405,9,0,0,0,0,0,0,12.03,2
Carlton|1218,1218,Carlton Place,Carlton,-37.8041791,144.9629414,8,0,0,0,0,0,0,9.12,21
Carlton|486,486,Carlton Street,Carlton,-37.8010004,144.972216,109,199,46,67,49,93,17,40130.1,175
Carlton|117731,117731,Casamento Place,Carlton,-37.7971919,144.9709422,14,0,0,0,0,0,0,59.36,11
Carlton|497,497,Cemetery Road East,Carlton,-37.7931789,144.9670014,40,25,4,0,0,4,2,1784.48,79
Carlton|120151,120151,Challis Lane,Carlton,-37.7953692,144.9673454,4,0,0,0,0,0,0,283.47,19
Carlton|502,502,Charles Street,Carlton,-37.7945356,144.9726298,21,7,3,0,0,3,0,395.3,43
Carlton|117735,117735,Chummie Place,Carlton,-37.8017346,144.9662898,2,0,0,0,0,0,0,0.0,0
Carlton|512,512,Church Street,Carlton,-37.8009719,144.9628788,39,0,0,0,0,0,0,53.4,5
Carlton|1582,1582,Cl1002,Carlton,-37.8027311,144.9610541,2,0,0,0,0,0,0,19.83,3
Carlton|522,522,Cochrane Place,Carlton,-37.7976144,144.9681562,2,0,0,0,0,0,0,0.0,0
Carlton|3155,3155,Coleman Place,Carlton,-37.7934781,144.9724305,10,6,1,0,0,1,1,991.96,43
Carlton|120134,120134,Colgan Street,Carlton,-37.7939151,144.9703656,36,24,2,12,11,13,2,117.32,45
Carlton|534,534,Cornell Place,Carlton,-37.8051295,144.9637342,11,0,0,0,0,0,0,64.21,10
Carlton|3003,3003,Court House Place,Carlton,-37.7975974,144.9686741,7,0,0,0,0,0,0,2.76,2
Carlton|1227,1227,Cumberland Place,Carlton,-37.8036456,144.9624048,12,0,0,0,0,0,0,13.28,9
Carlton|558,558,David Street,Carlton,-37.7970355,144.9719156,25,0,0,0,0,0,0,371.17,39
Carlton|575,575,Dorrit Street,Carlton,-37.7997183,144.9663446,70,0,0,0,0,0,0,629.76,60
Carlton|120044,120044,Druce Lane,Carlton,-37.7949629,144.9747053,3,0,0,0,0,0,0,123.45,9
Carlton|582,582,Drummond Place,Carlton,-37.8037814,144.9672981,20,0,0,0,0,0,0,66.92,22
Carlton|583,583,Drummond Street,Carlton,-37.8003641,144.9685022,452,412,26,12,8,34,5,11894.74,651
Carlton|592,592,Earl Street,Carlton,-37.8060249,144.9652531,31,11,2,0,0,2,0,261.98,12
Carlton|2014,2014,Elgin Place,Carlton,-37.796429,144.9650972,4,0,0,0,0,0,0,126.23,8
Carlton|598,598,Elgin Street,Carlton,-37.7974142,144.969864,273,152,9,25,18,27,6,4398.45,227
Carlton|603,603,Elm Tree Place,Carlton,-37.8057451,144.9681135,41,0,0,0,0,0,0,285.21,62
Carlton|620,620,Faraday Lane,Carlton,-37.7989271,144.9663119,3,0,0,0,0,0,0,113.51,8
Carlton|621,621,Faraday Street,Carlton,-37.7989244,144.9696069,267,182,17,12,12,29,7,4787.2,243
Carlton|628,628,Finlay Place,Carlton,-37.8039239,144.9669102,10,0,0,0,0,0,0,0.86,4
Carlton|3042,3042,Gibbons Place,Carlton,-37.8039552,144.9645111,7,0,0,0,0,0,0,0.45,5
Carlton|1254,1254,Goldspink Place,Carlton,-37.8000658,144.9695693,10,0,0,0,0,0,0,717.11,14
Carlton|673,673,Grattan Place,Carlton,-37.801291,144.9657849,49,0,0,0,0,0,0,191.27,36
Carlton|674,674,Grattan Street,Carlton,-37.8006316,144.9656359,190,92,11,1,1,12,3,5808.64,160
Carlton|716,716,Holmwood Place,Carlton,-37.7962848,144.9656517,3,0,0,0,0,0,0,218.78,10
Carlton|729,729,Hudson Place,Carlton,-37.8054972,144.9685135,7,0,0,0,0,0,0,57.85,10
Carlton|731,731,Hyam Place,Carlton,-37.8016859,144.9661516,9,0,0,0,0,0,0,79.84,13
Carlton|734,734,Ievers Terrace,Carlton,-37.8034432,144.9644773,23,0,0,0,0,0,0,3.44,3
Carlton|750,750,Kay Street,Carlton,-37.7951745,144.9729522,115,62,6,2,2,8,0,4168.98,109
Carlton|751,751,Kelvin Place,Carlton,-37.8037926,144.9643689,23,0,0,0,0,0,0,117.84,6
Carlton|755,755,Keppel Street,Carlton,-37.7954677,144.9663085,104,67,15,9,9,24,5,4260.71,152
Carlton|117729,117729,Kingsland Place,Carlton,-37.7969951,144.9724998,3,2,1,7,7,7,1,154.02,16
Carlton|120045,120045,Kulin Place,Carlton,-37.7991623,144.9741556,8,0,0,0,0,0,0,91.61,10
Carlton|777,777,Lansdowne Place,Carlton,-37.804765,144.961242,26,0,0,0,0,0,0,48.7,12
Carlton|785,785,Leicester Place,Carlton,-37.8025705,144.9610909,15,0,0,0,0,0,0,8.78,1
Carlton|786,786,Leicester Street,Carlton,-37.8029248,144.9606043,197,145,21,153,48,67,8,1381.42,89
Carlton|793,793,Lincoln Place,Carlton,-37.8038899,144.9629319,10,3,1,0,0,1,0,118.55,9
Carlton|794,794,Lincoln Square North,Carlton,-37.8016961,144.9629866,40,31,14,38,30,42,7,1343.47,36
Carlton|795,795,Lincoln Square South,Carlton,-37.8031393,144.9627592,42,48,18,87,44,61,11,1951.18,15
Carlton|807,807,Little Barkly Street,Carlton,-37.7996589,144.9710814,20,0,0,0,0,0,0,142.23,31
Carlton|810,810,Little Cardigan Street,Carlton,-37.8043602,144.965298,28,0,0,0,0,0,0,2.64,4
Carlton|817,817,Little Elgin Street,Carlton,-37.7975773,144.9668024,21,0,0,0,0,0,0,219.88,22
Carlton|828,828,Little Palmerston Street,Carlton,-37.796545,144.9692036,40,6,1,0,0,1,0,658.19,66
Carlton|834,834,Little Queensberry Street,Carlton,-37.8042985,144.9643219,32,0,0,0,0,0,0,1.03,4
Carlton|771,771,Lygon Lane,Carlton,-37.7995158,144.9666492,1,0,0,0,0,0,0,20.23,1
Carlton|840,840,Lygon Street,Carlton,-37.7999411,144.9670907,506,233,12,15,15,27,7,25783.46,457
Carlton|1995,1995,Lynch Street,Carlton,-37.7992729,144.965319,3,0,0,0,0,0,0,3.84,9
Carlton|841,841,Lytton Street,Carlton,-37.793663,144.9673984,40,36,7,0,0,7,3,1130.75,26
Carlton|843,843,MacArthur Place North,Carlton,-37.7981825,144.9715894,75,10,2,0,0,2,1,291.95,27
Carlton|844,844,MacArthur Place South,Carlton,-37.798538,144.9715008,70,10,2,0,0,2,1,5716.17,24
Carlton|865,865,Magenta Place,Carlton,-37.8043271,144.9658286,12,0,0,0,0,0,0,26.0,5
Carlton|867,867,Malvina Place,Carlton,-37.800544,144.9617357,11,0,0,0,0,0,0,106.75,4
Carlton|2868,2868,McDonald Lane,Carlton,-37.80567,144.9670172,17,0,0,0,0,0,0,85.82,32
Carlton|902,902,Mission Place,Carlton,-37.8044784,144.9669562,30,0,0,0,0,0,0,296.76,25
Carlton|915,915,Moton Place,Carlton,-37.7992593,144.969374,30,0,0,0,0,0,0,145.84,9
Carlton|921,921,Murchison Street,Carlton,-37.7999465,144.9734784,52,26,5,2,1,6,2,1068.38,43
Carlton|924,924,Naughton Place,Carlton,-37.8000315,144.9682164,7,0,0,0,0,0,0,47.03,10
Carlton|925,925,Neill Street,Carlton,-37.7938961,144.972701,111,75,15,12,12,27,4,2969.25,171
Carlton|931,931,Nicholson Street,Carlton,-37.7968771,144.9748849,136,151,35,110,34,69,16,9846.39,247
Carlton|1427,1427,O'Connell Lane,Carlton,-37.8019752,144.9689525,2,0,0,0,0,0,0,223.19,8
Carlton|946,946,Ormond Place,Carlton,-37.8020985,144.9674472,12,0,0,0,0,0,0,369.81,23
Carlton|948,948,Orr Street,Carlton,-37.8063839,144.9652122,28,5,1,0,0,1,0,26.18,5
Carlton|950,950,Owen Street,Carlton,-37.8005595,144.9733641,52,19,4,2,1,5,2,458.95,53
Carlton|120173,120173,Pagan Lane,Carlton,-37.7939784,144.9748092,3,0,0,0,0,0,0,365.95,11
Carlton|952,952,Painsdale Place,Carlton,-37.796141,144.9651836,4,0,0,0,0,0,0,138.14,2
Carlton|954,954,Palmerston Place,Carlton,-37.7957157,144.9656252,26,0,0,0,0,0,0,602.12,33
Carlton|955,955,Palmerston Street,Carlton,-37.796324,144.9708635,238,257,42,30,17,58,9,6002.84,288
Carlton|975,975,Pelham Street,Carlton,-37.8025715,144.9642771,201,65,8,19,13,21,3,1230.36,122
Carlton|989,989,Pitt Street,Carlton,-37.7957518,144.9719764,62,23,2,21,8,10,2,2024.15,84
Carlton|117806,117806,Powell Lane,Carlton,-37.798209,144.9663478,8,0,0,0,0,0,0,112.71,11
Carlton|999,999,Princes Street,Carlton,-37.7927854,144.9719734,103,88,10,1,1,11,3,2908.25,110
Carlton|1006,1006,Queensberry Place,Carlton,-37.8051005,144.9641769,23,0,0,0,0,0,0,94.58,21
Carlton|1008,1008,Queensberry Street,Carlton,-37.8046879,144.9643455,249,126,6,0,0,6,1,7748.03,147
Carlton|119685,119685,Raffa Place,Carlton,-37.7976851,144.9683278,1,0,0,0,0,0,0,0.0,0
Carlton|1023,1023,Rathdowne Place,Carlton,-37.7997084,144.9705707,12,1,1,0,0,1,0,9.36,9
Carlton|1024,1024,Rathdowne Street,Carlton,-37.7990592,144.9701759,380,356,60,140,50,109,22,32484.47,753
Carlton|120050,120050,Reeves Street,Carlton,-37.7933282,144.9704692,36,27,4,23,22,26,7,719.48,57
Carlton|1036,1036,Rodney Place,Carlton,-37.8035477,144.9674411,3,0,0,0,0,0,0,41.52,10
Carlton|1066,1066,Scotts Place,Carlton,-37.801572,144.961634,7,0,0,0,0,0,0,102.09,20
Carlton|117758,117758,Shiels Lane,Carlton,-37.7999666,144.9721301,18,1,1,0,0,1,0,213.79,25
Carlton|118780,118780,Silver Top Terrace,Carlton,-37.7995999,144.9707814,10,4,1,0,0,1,0,11.1,15
Carlton|117882,117882,Snowball Lane,Carlton,-37.8052268,144.967232,2,0,0,0,0,0,0,8.39,2
Carlton|120094,120094,Stable Lane,Carlton,-37.795666,144.9739045,19,0,0,0,0,0,0,306.51,25
Carlton|1092,1092,Station Street,Carlton,-37.7947844,144.9744301,135,44,7,0,0,7,1,1533.25,137
Carlton|1110,1110,Sutton Place,Carlton,-37.7968883,144.9701854,2,0,0,0,0,0,0,9.31,5
Carlton|1114,1114,Swanston Street,Carlton,-37.8012373,144.963895,367,97,13,29,17,30,4,5535.16,349
Carlton|1128,1128,Trades Hall Place,Carlton,-37.8064825,144.9667477,16,0,0,0,0,0,0,328.02,29
Carlton|1137,1137,Tyne Street,Carlton,-37.7979296,144.9666674,32,4,1,0,0,1,0,374.33,20
Carlton|1142,1142,Union Place,Carlton,-37.7965165,144.9655203,6,0,0,0,0,0,0,130.52,12
Carlton|1145,1145,University Street,Carlton,-37.7995064,144.9686499,65,0,0,0,0,0,0,104.58,51
Carlton|1151,1151,Victoria Parade,Carlton,-37.8077641,144.9723441,1,68,18,0,0,18,5,6117.41,71
Carlton|2005,2005,Victoria Place,Carlton,-37.7930608,144.9722801,22,4,2,0,0,2,0,261.51,30
Carlton|1152,1152,Victoria Street,Carlton,-37.8066482,144.9641963,105,187,43,149,53,95,20,29643.5,305
Carlton|120177,120177,Warrior Woman Lane,Carlton,-37.7946151,144.9751088,2,0,0,0,0,0,0,208.79,4
Carlton|1164,1164,Waterloo Street,Carlton,-37.7952466,144.9671332,26,0,0,0,0,0,0,349.24,33
Carlton|1294,1294,Willow Lane,Carlton,-37.796695,144.97128,10,0,0,0,0,0,0,171.39,33
Carlton|1192,1192,York Place,Carlton,-37.8001457,144.9675937,5,0,0,0,0,0,0,88.25,20
Carlton|1194,1194,Youngs Place,Carlton,-37.8040658,144.9674989,10,0,0,0,0,0,0,33.83,2
Central City|368,368,A'Beckett Street,Central City,-37.809571,144.9597589,230,43,6,0,0,6,0,3937.37,117
Central City|117944,117944,ACDC Lane,Central City,-37.8158114,144.9710056,1,0,0,0,0,0,0,0.0,0
Central City|117923,117923,Albert Coates Lane,Central City,-37.8109967,144.9651374,28,0,0,0,0,0,0,0.0,0
Central City|376,376,Alexandra Avenue,Central City,-37.8246046,144.9769387,14,2022,211,297,122,328,29,139608.63,2047
Central City|1198,1198,Alfred Lane,Central City,-37.8466458,144.9811477,1,0,0,0,0,0,0,660.41,38
Central City|377,377,Alfred Place,Central City,-37.8138317,144.9699737,37,3,1,0,0,1,0,0.0,0
Central City|380,380,Altson Lane,Central City,-37.8137668,144.9541244,10,0,0,0,0,0,0,49.7,4
Central City|383,383,Anderson Street,Central City,-37.831037,144.9840346,1,25,2,0,0,2,1,6211.92,183
Central City|388,388,Anthony Street,Central City,-37.8091418,144.9590512,32,13,3,0,0,3,0,262.06,32
Central City|384,384,Armadale Street,Central City,-37.841143,144.9782823,20,15,2,21,3,5,0,1419.15,158
Central City|399,399,Arnold Street,Central City,-37.8359347,144.9763552,20,10,2,3,3,5,0,104.41,11
Central City|117925,117925,Artemis Lane,Central City,-37.8105162,144.9664055,23,0,0,0,0,0,0,0.0,0
Central City|404,404,Austral Lane,Central City,-37.8164034,144.9607838,21,0,0,0,0,0,0,1.04,1
Central City|117954,117954,Banana Alley Wharf,Central City,-37.8199556,144.9623642,3,19,3,2,2,5,0,905.18,28
Central City|412,412,Bank Place,Central City,-37.8166203,144.9604081,24,8,2,0,0,2,0,175.49,21
Central City|413,413,Baptist Place,Central City,-37.8144908,144.9674381,1,0,0,0,0,0,0,0.0,0
Central City|120178,120178,Baskerville Lane,Central City,-37.8095724,144.9626746,9,0,0,0,0,0,0,1.23,1
Central City|422,422,Batman Avenue,Central City,-37.8201456,144.9754686,12,724,36,96,35,71,11,29676.29,550
Central City|437,437,Bennetts Lane,Central City,-37.8091039,144.9678071,27,0,0,0,0,0,0,2.66,6
Central City|120181,120181,Benson Walk,Central City,-37.813674,144.9707077,10,0,0,0,0,0,0,0.0,0
Central City|441,441,Berkeley Street,Central City,-37.8027396,144.9589473,116,22,5,2,2,7,1,919.99,46
Central City|445,445,Birdwood Avenue,Central City,-37.8305745,144.9771219,12,229,68,75,42,108,11,247975.56,1246
Central City|1210,1210,Bligh Place,Central City,-37.8171923,144.9637204,15,0,0,0,0,0,0,10.19,13
Central City|1600,1600,Block Arcade,Central City,-37.8155785,144.9644029,32,0,0,0,0,0,0,0.0,0
Central City|448,448,Block Place,Central City,-37.8153854,144.964371,48,0,0,0,0,0,0,0.0,0
Central City|117829,117829,Boathouse Drive,Central City,-37.8197221,144.9708878,17,82,19,68,34,53,8,5265.79,97
Central City|451,451,Bond Street,Central City,-37.818221,144.9627854,39,5,1,0,0,1,0,66.1,10
Central City|454,454,Bourke Place,Central City,-37.8156444,144.9557674,8,0,0,0,0,0,0,18.29,10
Central City|455,455,Bourke Street,Central City,-37.8141445,144.963593,809,170,14,70,46,59,4,19282.8,292
Central City|466,466,Bromby Street,Central City,-37.8348723,144.9765253,74,40,2,0,0,2,0,180.51,21
Central City|1265,1265,Brown Alley,Central City,-37.8148593,144.9554754,37,2,2,0,0,2,1,212.75,2
Central City|468,468,Brunton Avenue,Central City,-37.8234918,144.9883824,1,51,12,5,5,17,0,515.14,28
Central City|475,475,Caledonian Lane,Central City,-37.8122422,144.964458,16,0,0,0,0,0,0,0.0,0
Central City|1601,1601,Campbell Arcade,Central City,-37.8178114,144.9660386,15,0,0,0,0,0,0,0.0,0
Central City|490,490,Carson Place,Central City,-37.8151052,144.9651027,20,0,0,0,0,0,0,0.0,0
Central City|492,492,Casselden Place,Central City,-37.8088528,144.9710561,1,0,0,0,0,0,0,45.91,11
Central City|496,496,Celestial Avenue,Central City,-37.811846,144.9662555,30,0,0,0,0,0,0,0.1,1
Central City|499,499,Centre Place,Central City,-37.816574,144.96548,34,0,0,0,0,0,0,1.74,3
Central City|1602,1602,Centreway Arcade,Central City,-37.8162545,144.9653655,17,0,0,0,0,0,0,0.0,0
Central City|513,513,Church Lane,Central City,-37.8172538,144.9575965,10,0,0,0,0,0,0,1.76,5
Central City|509,509,Church Street,Central City,-37.8165297,144.9572819,36,9,1,0,0,1,0,191.79,19
Central City|523,523,Cohen Place,Central City,-37.8109955,144.9691557,26,1,1,2,2,3,0,57.77,12
Central City|526,526,Collins Street,Central City,-37.8162945,144.9637954,622,221,9,0,0,9,1,21356.32,287
Central City|527,527,Collins Way,Central City,-37.8159138,144.9624123,12,0,0,0,0,0,0,0.11,1
Central City|529,529,Commercial Road,Central City,-37.845311,144.9815015,63,28,4,0,0,4,1,3984.93,230
Central City|535,535,Coromandel Place,Central City,-37.8131787,144.9691878,32,1,1,0,0,1,0,6.05,3
Central City|538,538,Corrs Lane,Central City,-37.8111447,144.9682583,38,0,0,0,0,0,0,34.72,9
Central City|542,542,Coverlid Place,Central City,-37.8120001,144.9684001,28,0,0,0,0,0,0,0.71,2
Central City|543,543,Croft Alley,Central City,-37.8120527,144.9691239,3,0,0,0,0,0,0,1.29,1
Central City|545,545,Crossley Street,Central City,-37.8113376,144.9710814,42,0,0,0,0,0,0,4.12,3
Central City|553,553,Custom House Lane,Central City,-37.8193764,144.9589143,13,0,0,0,0,0,0,157.63,27
Central City|1230,1230,Dallas Brooks Drive,Central City,-37.8321437,144.9763844,30,230,57,194,122,177,17,18828.08,256
Central City|119319,119319,Dame Edna Place,Central City,-37.8152392,144.9645492,18,0,0,0,0,0,0,0.0,0
Central City|559,559,Davisons Place,Central City,-37.8092347,144.9673712,28,1,1,2,2,3,0,88.64,33
Central City|566,566,Degraves Street,Central City,-37.8173221,144.9657832,40,0,0,0,0,0,0,0.0,0
Central City|572,572,Domain Road,Central City,-37.8334603,144.9774679,149,373,89,22,15,104,13,26230.37,418
Central City|574,574,Domain Street,Central City,-37.8344236,144.9786353,30,14,3,0,0,3,1,1605.59,20
Central City|577,577,Downie Street,Central City,-37.8202571,144.9557348,32,0,0,0,0,0,0,12.39,10
Central City|578,578,Drewery Alley,Central City,-37.8110072,144.9637663,14,0,0,0,0,0,0,3.82,3
Central City|580,580,Drewery Lane,Central City,-37.8111668,144.9640801,25,3,2,0,0,2,0,123.03,7
Central City|579,579,Drewery Place,Central City,-37.8112134,144.9638799,19,4,2,0,0,2,0,225.57,5
Central City|581,581,Driver Lane,Central City,-37.8129574,144.9630379,15,0,0,0,0,0,0,0.77,2
Central City|1240,1240,Duckboard Place,Central City,-37.8154913,144.971333,19,0,0,0,0,0,0,0.0,0
Central City|591,591,Eagle Alley,Central City,-37.8128284,144.9546956,46,0,0,0,0,0,0,8.85,7
Central City|599,599,Elizabeth Street,Central City,-37.8093996,144.9609857,732,217,9,9,8,17,4,21917.04,314
Central City|606,606,Equitable Place,Central City,-37.8158118,144.9631714,35,0,0,0,0,0,0,5.44,2
Central City|3187,3187,Evan Walker Bridge,Central City,-37.8196233,144.965128,1,1,1,0,0,1,0,0.29,1
Central City|613,613,Evans Lane,Central City,-37.808931,144.9687003,15,0,0,0,0,0,0,42.88,3
Central City|615,615,Exhibition Street,Central City,-37.8117129,144.9703919,329,156,10,32,18,28,6,10443.57,169
Central City|616,616,Exploration Lane,Central City,-37.8089071,144.9681983,34,0,0,0,0,0,0,119.55,32
Central City|630,630,Flanigan Lane,Central City,-37.8110368,144.9601676,38,0,0,0,0,0,0,0.75,3
Central City|631,631,Fleming Place,Central City,-37.8157888,144.9629162,24,0,0,0,0,0,0,0.0,0
Central City|632,632,Flemington Road,Central City,-37.8002171,144.9562263,7,19,2,0,0,2,2,1608.09,69
Central City|634,634,Flinders Court,Central City,-37.8177906,144.964353,19,0,0,0,0,0,0,0.89,2
Central City|635,635,Flinders Lane,Central City,-37.8172144,144.9644609,569,109,10,11,6,16,1,6477.95,340
Central City|636,636,Flinders Street,Central City,-37.8181278,144.965116,537,145,11,24,17,28,3,14024.28,308
Central City|1604,1604,Flinders Street Station Concourse,Central City,-37.8183032,144.9670197,27,15,3,2,2,5,1,2606.25,19
Central City|117860,117860,Flinders Walk,Central City,-37.8192777,144.9647154,5,25,3,31,29,32,5,1475.56,46
Central City|642,642,Francis Street,Central City,-37.8182071,144.9551414,83,1,1,0,0,1,0,87.97,35
Central City|644,644,Franklin Street,Central City,-37.8084151,144.9597507,243,62,10,9,9,19,5,3635.2,235
Central City|120139,120139,Frederick Way,Central City,-37.8100505,144.9568635,6,0,0,0,0,0,0,20.78,11
Central City|645,645,Fulham Place,Central City,-37.8173479,144.9630595,12,0,0,0,0,0,0,49.05,24
Central City|1252,1252,Gallaghers Place,Central City,-37.8167251,144.9565149,35,0,0,0,0,0,0,0.0,0
Central City|119549,119549,Gem Place,Central City,-37.8208796,144.9568911,12,0,0,0,0,0,0,28.54,13
Central City|651,651,George Parade,Central City,-37.8149967,144.9702618,38,0,0,0,0,0,0,32.38,12
Central City|661,661,Godfrey Street,Central City,-37.8174474,144.9540229,38,11,2,0,0,2,0,20.62,4
Central City|663,663,Goldie Place,Central City,-37.8134468,144.9606811,24,0,0,0,0,0,0,104.46,16
Central City|664,664,Goldsbrough Lane,Central City,-37.8153299,144.9573851,40,0,0,0,0,0,0,0.0,0
Central City|1445,1445,Gordon Place,Central City,-37.8103301,144.9719219,14,0,0,0,0,0,0,13.04,8
Central City|667,667,Government House Drive,Central City,-37.8271487,144.9746119,8,298,97,215,120,215,20,55830.57,361
Central City|674,674,Grattan Street,Central City,-37.7998331,144.9573563,28,13,1,0,0,1,0,209.38,31
Central City|681,681,Guests Lane,Central City,-37.8146262,144.9570507,11,0,0,0,0,0,0,4.53,14
Central City|682,682,Guildford Lane,Central City,-37.8112939,144.9600366,50,0,0,0,0,0,0,58.56,22
Central City|3226,3226,Hardware Lane,Central City,-37.8136603,144.9612418,88,14,1,0,0,1,0,490.56,13
Central City|689,689,Hardware Street,Central City,-37.8121591,144.9605618,40,6,1,0,0,1,0,101.23,23
Central City|694,694,Harwood Place,Central City,-37.8109721,144.9717064,24,0,0,0,0,0,0,207.96,20
Central City|697,697,Hay Place,Central City,-37.8197653,144.9567847,9,0,0,0,0,0,0,36.21,7
Central City|698,698,Hayward Lane,Central City,-37.8097412,144.9671521,76,0,0,0,0,0,0,173.33,16
Central City|699,699,Healeys Lane,Central City,-37.8135743,144.9558443,42,0,0,0,0,0,0,0.58,2
Central City|700,700,Heape Court,Central City,-37.8118553,144.9613451,1,0,0,0,0,0,0,0.0,0
Central City|701,701,Heffernan Lane,Central City,-37.8116197,144.9666532,38,0,0,0,0,0,0,0.0,0
Central City|710,710,Highlander Lane,Central City,-37.8196734,144.9580546,24,7,4,0,0,4,0,220.41,26
Central City|722,722,Hosier Lane,Central City,-37.8163078,144.969051,25,0,0,0,0,0,0,2.54,4
Central City|727,727,Howey Place,Central City,-37.8151257,144.9654441,40,0,0,0,0,0,0,0.0,0
Central City|117926,117926,Jane Bell Lane,Central City,-37.8103423,144.9662465,26,0,0,0,0,0,0,0.0,0
Central City|748,748,Jones Lane,Central City,-37.8098016,144.968607,31,0,0,0,0,0,0,9.71,13
Central City|749,749,Katherine Place,Central City,-37.8200526,144.9565162,23,7,1,1,1,2,0,42.44,20
Central City|761,761,King Street,Central City,-37.8163092,144.9556948,312,95,5,10,1,6,1,10134.41,123
Central City|763,763,Kirks Lane,Central City,-37.81419,144.9611877,32,0,0,0,0,0,0,63.62,20
Central City|780,780,La Trobe Street,Central City,-37.8102104,144.9617804,490,130,9,5,5,14,6,14596.57,386
Central City|768,768,Lacey Place,Central City,-37.8111017,144.9687687,11,0,0,0,0,0,0,4.66,4
Central City|786,786,Leicester Street,Central City,-37.8057178,144.9598674,18,7,2,0,0,2,1,7.88,4
Central City|808,808,Little Bourke Place,Central City,-37.8101868,144.9716139,24,0,0,0,0,0,0,656.61,15
Central City|809,809,Little Bourke Street,Central City,-37.8132271,144.9628204,611,41,8,0,0,8,0,3015.77,185
Central City|812,812,Little Collins Street,Central City,-37.8151645,144.9637981,614,77,10,0,0,10,0,4524.51,196
Central City|822,822,Little La Trobe Street,Central City,-37.8093996,144.9623511,84,2,2,0,0,2,0,66.79,9
Central City|825,825,Little Lonsdale Street,Central City,-37.811295,144.9618165,601,63,12,5,5,17,2,3974.45,145
Central City|833,833,Little Queen Street,Central City,-37.8147287,144.9593718,36,0,0,0,0,0,0,30.48,24
Central City|799,799,Liverpool Street,Central City,-37.8112163,144.9713891,34,2,1,0,0,1,0,49.73,24
Central City|803,803,Lonsdale Street,Central City,-37.8118397,144.9625728,874,186,4,0,0,4,0,17200.42,238
Central City|858,858,MacKenzie Street,Central City,-37.8075512,144.9667529,50,6,3,0,0,3,1,680.96,105
Central City|866,866,Malthouse Lane,Central City,-37.8154906,144.9714923,11,0,0,0,0,0,0,0.1,1
Central City|868,868,Manchester Lane,Central City,-37.8162051,144.9659769,44,0,0,0,0,0,0,14.86,9
Central City|872,872,Manton Lane,Central City,-37.8136347,144.955157,29,0,0,0,0,0,0,0.0,0
Central City|876,876,Market Lane,Central City,-37.8118442,144.9693007,36,0,0,0,0,0,0,7.41,10
Central City|1424,1424,Market Street,Central City,-37.8183046,144.9606939,69,31,8,19,6,14,1,2163.8,49
Central City|859,859,McKillop Street,Central City,-37.815308,144.9617444,31,5,2,0,0,2,0,30.9,14
Central City|860,860,McLean Alley,Central City,-37.8114256,144.9603497,39,0,0,0,0,0,0,83.07,5
